tweet_text,tweet_date,tweet_id,tweet_fav_count,retweet_count,sentiment_compound
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/KfYtt6VTeK,2018-05-31 23:58:45,1002338624413659137,0,0,-0.4939
Poll: Federal Liberals losing support in B.C. over past Kinder Morgan pipeline decisions  via @theprovince https://t.co/OCGYzxcUYT,2018-05-31 23:57:58,1002338427012956160,0,0,0.5106
@ChristinaMcKeen @Pam_Palmater @JustinTrudeau If you haven't seen this... an interesting read: https://t.co/uo25Nm5cMX,2018-05-31 23:56:16,1002337999336529920,13,10,0.4019
Catch me  @BillTieleman and @joninacampbell  at 5:05 PM on @CBCOnTheCoast w guest host @AngelaSterritt talking #bcpoli - end of the BC legislative session  Kinder Morgan  and proportional representation! #BCLib,2018-05-31 23:54:57,1002337668926136320,8,1,0.5411
powerful indictment by @billmckibben of Trudeau government's decision to buy #KinderMorgan pipeline https://t.co/bSl6LNLs1E,2018-05-31 23:54:28,1002337548515987456,1,1,0.4215
First Nations Activist: Canada’s Purchase of Kinder Morgan Pipeline Will Cause Environmental &amp; Economic Disaster https://t.co/58GIGoHwqa,2018-05-31 23:53:44,1002337361051693058,0,0,-0.2263
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/1zSLwStDiW,2018-05-31 23:52:57,1002337164141658115,0,0,0.0
@AndrewScheer @Dontvoteliberal Just kind of curious if Trudeau took into consideration the Life expectancy of a pipeline in this decision? Kinder Morgan is laughing at Trudeau  they just pawned $B of soon to be replacement of a 65 year old pipeline. Maybe consulting expects in this was warranted!,2018-05-31 23:52:54,1002337155220246529,1,0,0.8271
On at 5:05 PM on CBC Vancouver On The Coast w guest host Angela Sterritt  @joninacampbell  and @AmyMarlene Robichaud talking about the end of the BC legislative session  Kinder Morgan  and – oh yes – proportional representation! #BCPoli #BCNDP,2018-05-31 23:48:38,1002336080236986368,6,2,0.7345
@manny_ottawa @JustinTrudeau @POTUS Worse than that @JustinTrudeau is a sneak &amp; nobody likes a sneak. he thinks he's also gotten away with this whole Kinder Morgan deal &amp; no one is the wiser &amp; even if we were he thinks he can just lie his way through it! #cdnpoli,2018-05-31 23:47:40,1002335834304077826,3,1,0.4926
John Horgan may be fighting for the coast against Trudeau and Kinder Morgan  but if he allows the destruction of our wild salmon  what's the point? https://t.co/RvgPMCEhBr,2018-05-31 23:45:54,1002335389967966208,1,0,-0.6908
"These other guys doin a really dumb thing says Justin 'kinder morgan' trudeau  king of the tar sand dirtiest oil production mecca on the planet.
As Ira might say 'keep it'
So sick of the disingenuous muppet show called world politics https://t.co/6Y8bSHErDZ",2018-05-31 23:45:46,1002335358556651520,0,0,-0.8119
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/KOQB7ncsr9,2018-05-31 23:45:12,1002335213811261440,0,0,0.0
"@BerniesHomie By buying Trans Mountain  the Trudeau government breaks an array of promises
Opinion: In one fell swoop  the Liberal government’s purchase of Kinder Morgan’s pipeline fails many groups  from Indigenous communities to the provinces themselves",2018-05-31 23:42:05,1002334430772563970,0,0,0.4588
If you're still wondering exactly what the Trans Mountain pipeline expansion is  this interactive explainer will help. Weigh Anchor: https://t.co/XZfefjaMXV,2018-05-31 23:41:46,1002334350937997312,2,1,0.4019
@BrowettNick @punditclass @JustinTrudeau $4.5 Billion in taxpayer money just left Canada for Texas. We also basically paid Kinder Morgan to not invest another $7.4 Billion in Canada.,2018-05-31 23:35:42,1002332825540915201,3,2,0.4939
B.C. green groups thought they had defeated the Prime Minister &amp; put a stop to the Kinder Morgan Expansion. And all that remained for them was to listen to the pop of champagne corks. Boy were they wrong. The young PM is going to build the pipe  &amp; many of us are going to work.,2018-05-31 23:32:59,1002332141047312384,42,11,-0.4588
First Nations Activist: Canada’s Kinder Morgan Pipeline Will Cause Environmental &amp; Economic Disaster @democracynow #FSTVDN https://t.co/L3WyWf1pJ3,2018-05-31 23:30:43,1002331572232744961,3,0,-0.2263
First Nations Activist: Canada’s Kinder Morgan Pipeline Will Cause Environmental &amp; Economic Disaster @democracynow #FSTVDN https://t.co/L3WyWf1pJ3,2018-05-31 23:30:43,1002331572232744961,3,0,-0.2263
"El último problema: la imposición de un oleoducto gigante  que haría la empresa Kinder Morgan  frente a la oposición del gobierno provincial.
Otra prueba más de la farsa del liberalismo posmoderno: ecologismo de boquilla.
https://t.co/w9W86pUMwO",2018-05-31 23:25:33,1002330271918821376,0,0,0.4939
"This visualization of the impact of the Kinder Morgan expansion by @globeandmail is beautiful  and does a great job providing perspective on abstract concepts hard to imagine if you're not actually in BC. 
https://t.co/gIZieEiBOd",2018-05-31 23:24:54,1002330105354563584,2,5,0.8957
@albertacantwait @Kinder_Morgan And we over paid way over a billion.,2018-05-31 23:23:17,1002329699085836288,2,1,0.0
Kinder Morgan reaps reward for handing over Trans Mountain (Cda now BAILING OUT foreign corporations) #cdnpoli  https://t.co/JjQvlXGgcA,2018-05-31 23:22:00,1002329377202245634,0,0,0.7845
"@gaucoin13 @samlupin6 @AndrewScheer ""Big corporate money""  @gaucoin13...REALLY?? Like 4.5 BILLION of TAXPAYER dollars that TRUDEAU just handed Kinder Morgan for a 65 year old pipeline?? Hello???? The informed voter  I see.....sheesh.",2018-05-31 23:21:29,1002329245522321408,0,0,0.7691
@JustinTrudeau @joycemurray I oppose the taxpayer bail out of Kinder Morgan's risky oil pipeline. #LetsMoveForward for a clean and diverse economy → https://t.co/BHxBRI5qjm #cdnpoli #stopkm #noKMbailout,2018-05-31 23:20:08,1002328908505669632,0,0,0.6249
Say hello to Justin #Trudeau  the world's newest oil executive | Bill McKibben https://t.co/YX62mRZmOH #KinderMorgan,2018-05-31 23:16:34,1002328009301528578,0,0,0.0
Kinder Morgan laughing all the way to the bank https://t.co/qiBkAAcCSx,2018-05-31 23:16:22,1002327959745716224,0,0,0.7506
I was arrested for protesting against Canada's pipeline – and the battle is far from over | Elizabeth May: Guardian https://t.co/S7Z1pOXrb3 #NoDAPL #NoKXL #ecology,2018-05-31 23:16:13,1002327920398909440,0,0,-0.8176
Indigenous Activist: Trudeau’s Purchase of Kinder Morgan Pipeline Is “Huge Step Backward” for Canada https://t.co/2g8pN2fnnK #stopKM,2018-05-31 23:15:09,1002327651850256387,0,0,0.4939
First Nations Activist: Canada’s Kinder Morgan Pipeline Will Cause Envir... https://t.co/uj7OUK9pCS via @YouTube,2018-05-31 23:11:00,1002326608911458304,0,0,0.4939
Did Canada buy an oil pipeline in fear of being sued by China? | Opinion | The Guardian. What?  Prepared to arrest Canadians to protect Chinese investment?  Say it isn't so..... #cdnpoli #bcpoli #abpoli #pipeline #onpoli #Economy #Canada #China  https://t.co/hucByfCzo7,2018-05-31 23:10:46,1002326550644023296,1,1,-0.3899
"I don't believe LIBERALS got played with corporate kingpin #Morneau at the helm. It was Cdns that got played imho ""How Kinder Morgan Played Trudeau Like a Harp"" #cdnpoli  https://t.co/xcFajDtkgv",2018-05-31 23:10:13,1002326409883222016,3,2,0.8979
Did Canada buy an oil pipeline in fear of being sued by China? https://t.co/oKqQRMpJG2,2018-05-31 23:08:56,1002326088608034817,0,0,-0.4939
Des Autochtones veulent acheter une part du pipeline Trans Mountain https://t.co/ttLdBnmuJm Hey bien  la protection de leur environnement n'est plus important ast'heure?,2018-05-31 23:08:14,1002325914015985664,0,0,0.2023
“We know now how history will remember Justin Trudeau: not as a dreamy progressive  but as one more pathetic employee of the richest  most reckless industry in the planet’s history.” #AirPollution  https://t.co/mMKtP2i0jB,2018-05-31 23:08:11,1002325901315661831,0,0,-0.7077
"Canada is buying a tar sands pipeline from Kinder Morgan set to travel through to Washington state. This has no upside  the oil will all be sold to China from Canada but could create environmental problems in WA state
petition here:  https://t.co/u3TOFQtpek",2018-05-31 23:05:50,1002325307729166336,3,4,-0.3612
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/Mfnpp7pV9S,2018-05-31 23:03:16,1002324661991067648,0,0,0.0
Say hello to Justin Trudeau  the world's newest oil executive | Bill McKibben https://t.co/Mfnpp7pV9S,2018-05-31 23:03:16,1002324661991067648,0,0,0.0
"@JustinTrudeau @kazweida Ok. Trumps An idiot.

Why the neck did you nationalise Kinder Morgan. You're making a deal with the devil. 

Renewables dude. Renewables.",2018-05-31 23:02:13,1002324398827700230,2,0,-0.5106
